feature,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
V1,1.0,-0.22826839671827312,-0.22607242306503086,0.07764355219344941,-0.08958436898667892,0.022463781755266674,-0.16347611642814908,0.20216685691610686,-0.099396483860356,-0.11645506420103202,0.08594236977329314,-0.13103026669734322,0.11529830825280471,0.1531937628631142,0.06511925027242334,0.17588233690416566,0.053034370889302275,-0.10070698824081138,0.00789282694135996,-0.12094812642636552,-0.1289398671625504,-0.09914661162693245,-0.09660210411870093,0.025521252553853464,0.32070869426909876,-0.07618576182344498,-0.11157147480256736,0.06649876142834482,-0.17457925721180048
V2,-0.22826839671827312,1.0,0.08449719489532069,0.03824901710464539,0.08309936232197701,-0.09134432526366007,0.1549024588116412,-0.1811573886992935,0.05374231964908256,0.16851061020904112,0.004627596834801082,0.09351821680124628,-0.060099714272304386,-0.07623039331792329,0.06902371773058638,-0.03713719822600565,-0.042929311080789956,0.048880789374861136,0.007866983579011094,-0.015517297679325248,0.054195942978237197,-0.009260667653254766,0.05570166064382953,-0.025324248668202716,-0.16114563652019379,-0.02353508890001087,0.11343547279430248,-0.01854384368928968,-0.5051406361703916
V3,-0.22607242306503086,0.08449719489532069,1.0,0.22167573666810106,-0.0921549595175192,-0.2673741376879389,0.017256200554655293,0.025012756172842165,0.04257463716839722,0.021975168194433403,-0.022932419411108334,0.05119853583927405,-0.06083680426459444,-0.09959060669884542,-0.22216445106587418,-0.2833197314931118,-0.019847873892692682,-0.04240128264654398,-0.07141762028545412,-0.08198412374419621,0.031222763978821563,0.30193263085711336,-0.007197185692488835,-0.056888756050386506,-0.31955706807817424,0.10490948150942997,-0.12424473005046541,-0.14990185729019956,-0.24093685985351174
V4,0.07764355219344941,0.03824901710464539,0.22167573666810106,1.0,-0.16184277454773002,-0.009546765118778647,-0.011189547993225815,0.03325598861208163,-0.13966947361397533,0.14231848855848894,-0.07710118907140522,0.024406887681808768,0.04854260785917072,-0.03533575201241108,-0.1647659074815029,-0.0934106372335745,0.2510067652095659,-0.0040017467093745145,-0.0025563198188964056,-0.0643940394498141,-0.03215286124277331,0.017114135175639558,0.044819031657967835,-0.0736528807019534,-0.03091753112343607,0.16354952559368516,-0.07736855783133652,0.03067063851911923,0.10038870733953101
V5,-0.08958436898667892,0.08309936232197701,-0.0921549595175192,-0.16184277454773002,1.0,0.18843261982313345,-0.1990764148549996,0.12745909452426668,0.003384948127810197,0.01835798175817757,0.004123282496748946,-0.07424303705611834,0.05930273169120353,-0.01928314543370327,0.10792917022149866,0.06999913310624771,-0.15600701623234028,0.026130112225754596,0.045202965725737704,0.1312956157815959,0.03052488848625273,-0.1143691211105623,-0.03875359964004983,0.0457205316653039,0.0015368973718999208,-0.17389564235530366,-0.05946466474842613,-0.1711586080037947,-0.4880345001842134
V6,0.022463781755266674,-0.09134432526366007,-0.2673741376879389,-0.009546765118778647,0.18843261982313345,1.0,-0.1018616294243453,0.06051781175121415,0.028529377396829047,0.041909494608522786,-0.036402100810714245,-0.19376658853890866,0.13127644154994036,0.08750594388294972,-0.08950721039059098,0.10079403454088538,0.02709446573774413,-0.04478195519813866,0.14172385668255288,-0.03156959772904073,0.016033047799633004,-0.09513003585604857,0.015553172780290626,0.08487013666595075,0.11130347785036535,-0.0016216880970922054,0.01222667608726508,0.03279358697655673,0.23855881405047308
V7,-0.16347611642814908,0.1549024588116412,0.017256200554655293,-0.011189547993225815,-0.1990764148549996,-0.1018616294243453,1.0,0.10549061908457463,-0.021933609685712705,0.010951792561989457,0.021786385055186527,0.11144014722219808,-0.07147931142695065,-0.23477889195834775,0.15592510366593598,-0.12648574947946079,-0.2627143761404,0.054185023262571574,-0.008930787184481936,-0.01574022113044131,-0.08132900303516022,0.11404929168402304,-0.11803024225630714,-0.025782573987501903,-0.13334759287234907,-0.04339666259022096,0.018030662147850166,-0.034009724830225345,0.4358305057794762
V8,0.20216685691610686,-0.1811573886992935,0.025012756172842165,0.03325598861208163,0.12745909452426668,0.06051781175121415,0.10549061908457463,1.0,-0.04752733269956264,-0.029221325077904866,-0.0005494249738215613,-0.10312717829598905,0.02316810557719415,0.06607667470814972,-0.06117192580780015,0.05975327183766904,0.0008653816241188678,-0.03845652744356739,0.031683267627899095,0.0096022436219884,-0.2284670643747397,0.03709381547069089,-0.11761739788924111,-0.002507596159273007,0.035095117432127156,0.03155790325765208,0.03538607235068809,0.08138485058462627,-0.08661665097385968
V9,-0.099396483860356,0.05374231964908256,0.04257463716839722,-0.13966947361397533,0.003384948127810197,0.028529377396829047,-0.021933609685712705,-0.04752733269956264,1.0,0.026503371977558105,0.077985129628353,-0.2508189879222133,0.085684771182065,0.051854728774489586,-0.15845723371870019,-0.13905717700708162,0.08085115202961615,-0.026928349185109317,-0.023617332008070358,0.10639239995314877,0.018102287823131984,0.02536110006942589,-0.06740810207340572,0.0038729625980730323,0.12342673824182525,-0.03680940026294835,0.021402320906019026,-0.13792154907294016,-0.04312744241739725
V10,-0.11645506420103202,0.16851061020904112,0.021975168194433403,0.14231848855848894,0.01835798175817757,0.041909494608522786,0.010951792561989457,-0.029221325077904866,0.026503371977558105,1.0,0.09917678554218821,-0.10504680383778166,0.004477566251268745,-0.26465688613361443,0.024653790978050427,0.004096865497679215,-0.10907825261386574,-0.02757261375944372,0.05186826755240934,0.21230668726731194,0.014536259029752736,-0.13922032162173656,0.03401923048184447,0.006334586696678653,-0.018189667382382674,0.09538753774363683,-0.05615133026456331,-0.19956039420067678,-0.09485152715530375
V11,0.08594236977329314,0.004627596834801082,-0.022932419411108334,-0.07710118907140522,0.004123282496748946,-0.036402100810714245,0.021786385055186527,-0.0005494249738215613,0.077985129628353,0.09917678554218821,1.0,-0.20468974606866025,0.16050273518912428,0.2934663549691408,-0.05742331293708414,0.11176310674508085,0.2188570625107245,-0.030517972338402675,-0.09818472417860741,0.021404803676439915,-0.015159157393679608,-0.0036500529440529174,0.10023308674220321,0.06377494062771605,-0.12382851305808194,-0.11718841817187887,-0.011823039275609862,-0.04225330518921005,-0.020444725276122892
V12,-0.13103026669734322,0.09351821680124628,0.05119853583927405,0.024406887681808768,-0.07424303705611834,-0.19376658853890866,0.11144014722219808,-0.10312717829598905,-0.2508189879222133,-0.10504680383778166,-0.20468974606866025,1.0,-0.37545768648884337,-0.522774525848983,0.08763802160764056,-0.3258834387701315,-0.3847755004753247,0.0651357835881113,-0.02805570008641611,0.00040491961129459156,0.0955032146095692,0.23204854917306816,-0.0668715626098709,-0.03108522621312772,0.021164650985378747,0.13206660412782797,0.07627732521985257,0.02183481753510548,-0.008785230085688453
V13,0.11529830825280471,-0.060099714272304386,-0.06083680426459444,0.04854260785917072,0.05930273169120353,0.13127644154994036,-0.07147931142695065,0.02316810557719415,0.085684771182065,0.004477566251268745,0.16050273518912428,-0.37545768648884337,1.0,0.2555532086142979,-0.09121809685213286,0.14292740637961346,0.2070484842007463,-0.06809348312061851,-0.002163800731443683,0.06221193778228201,-0.05764221360549354,-0.10721256952677768,0.03413715884470471,0.013340958811038103,0.06070331164876411,-0.03627876968434852,-0.05153245802552545,0.0238294356826223,0.048447362484677965
V14,0.1531937628631142,-0.07623039331792329,-0.09959060669884542,-0.03533575201241108,-0.01928314543370327,0.08750594388294972,-0.23477889195834775,0.06607667470814972,0.051854728774489586,-0.26465688613361443,0.2934663549691408,-0.522774525848983,0.2555532086142979,1.0,-0.0768724472302057,0.16399050014562,0.1603297228048164,-0.10705690364279302,0.0418805940340865,-0.10940522612510199,-0.02736637740279742,-0.15583037879530484,0.10407017229922338,0.03958593173531271,-0.021528854706451935,-0.12795217679476034,0.02318388281068597,0.17274787822636994,-0.01491990312542068
V15,0.06511925027242334,0.06902371773058638,-0.22216445106587418,-0.1647659074815029,0.10792917022149866,-0.08950721039059098,0.15592510366593598,-0.06117192580780015,-0.15845723371870019,0.024653790978050427,-0.05742331293708414,0.08763802160764056,-0.09121809685213286,-0.0768724472302057,1.0,-0.00305096355379712,-0.11631353270733444,-0.044223012142719044,-0.05654083017698913,0.025971989291216937,0.04970056260841842,0.08406250335690157,0.003380985594651973,0.007387750094716095,-0.07355295450126562,-0.07683641787649795,0.05777191491195245,-0.0036106135869056555,-0.00878710012567112
V16,0.17588233690416566,-0.03713719822600565,-0.2833197314931118,-0.0934106372335745,0.06999913310624771,0.10079403454088538,-0.12648574947946079,0.05975327183766904,-0.13905717700708162,0.004096865497679215,0.11176310674508085,-0.3258834387701315,0.14292740637961346,0.16399050014562,-0.00305096355379712,1.0,-0.1961707351916338,0.018061553289891213,0.06547756435155651,0.043170657146571735,-0.030020483090484478,-0.23602663627429357,0.05377451792155605,0.050812776480662555,0.14480254302375853,0.04979568023121268,0.023584416058908785,0.1030107210374386,0.0038905571279468565
V17,0.053034370889302275,-0.042929311080789956,-0.019847873892692682,0.2510067652095659,-0.15600701623234028,0.02709446573774413,-0.2627143761404,0.0008653816241188678,0.08085115202961615,-0.10907825261386574,0.2188570625107245,-0.3847755004753247,0.2070484842007463,0.1603297228048164,-0.11631353270733444,-0.1961707351916338,1.0,-0.31514954547954305,-0.04103748207592227,-0.04782927760349085,-0.011624276193784906,-0.01786127487255267,0.14140194100449588,-0.041342081845018704,-0.11053413287250441,-0.062483575604081916,0.013917320594126802,0.06665831839389846,0.015366347660252569
V18,-0.10070698824081138,0.048880789374861136,-0.04240128264654398,-0.0040017467093745145,0.026130112225754596,-0.04478195519813866,0.054185023262571574,-0.03845652744356739,-0.026928349185109317,-0.02757261375944372,-0.030517972338402675,0.0651357835881113,-0.06809348312061851,-0.10705690364279302,-0.044223012142719044,0.018061553289891213,-0.31514954547954305,1.0,0.15103684288973238,-0.002717152953136578,0.033515219783062204,-0.024381444083633443,-0.11123301076771602,0.007109465365756004,0.07543808365211108,0.030263992069573323,0.04802149295867364,0.02808421602010843,0.046284506092459904
V19,0.00789282694135996,0.007866983579011094,-0.07141762028545412,-0.0025563198188964056,0.045202965725737704,0.14172385668255288,-0.008930787184481936,0.031683267627899095,-0.023617332008070358,0.05186826755240934,-0.09818472417860741,-0.02805570008641611,-0.002163800731443683,0.0418805940340865,-0.05654083017698913,0.06547756435155651,-0.04103748207592227,0.15103684288973238,1.0,0.06703390251764453,0.00948697753074223,-0.057843932361513355,-0.05646459084569288,0.03153152441353795,0.01827913408933367,-0.030751442788599797,-0.050705256078240175,-0.047290068370745605,-0.020768726712363184
V20,-0.12094812642636552,-0.015517297679325248,-0.08198412374419621,-0.0643940394498141,0.1312956157815959,-0.03156959772904073,-0.01574022113044131,0.0096022436219884,0.10639239995314877,0.21230668726731194,0.021404803676439915,0.00040491961129459156,0.06221193778228201,-0.10940522612510199,0.025971989291216937,0.043170657146571735,-0.04782927760349085,-0.002717152953136578,0.06703390251764453,1.0,-0.3236498261972701,0.07977019284989334,-0.08851613126015677,0.05266658137538922,-0.010562618937949306,0.00123351685833661,-0.0017674294503323906,-0.04155564036826337,0.14505158257744416
V21,-0.1289398671625504,0.054195942978237197,0.031222763978821563,-0.03215286124277331,0.03052488848625273,0.016033047799633004,-0.08132900303516022,-0.2284670643747397,0.018102287823131984,0.014536259029752736,-0.015159157393679608,0.0955032146095692,-0.05764221360549354,-0.02736637740279742,0.04970056260841842,-0.030020483090484478,-0.011624276193784906,0.033515219783062204,0.00948697753074223,-0.3236498261972701,1.0,-0.2091908845971703,0.05346018577497794,-0.037108240999288014,0.00922837392357545,-0.00032490229589052,0.04624974121243637,-0.005017307479653446,0.0037324566365189156
